name,total_downloads,daily_downloads
a,77625,18
a--,3930,13
A-,5772,11
a0,3067,12
a0-tzmigration-ruby,6350,12
a11n,2282,12
A_123,10442,12
a1330ks_bmi,8940,12
a13g,11586,14
a1408nw_Ounennhei,6445,11
a1409yo_health,10072,12
a1412tk_bmi,13398,12
a1420ks_bmi,5448,11
a1420ks_my_first_gem,9914,12
a1425bt,6474,12
a1426kt_prime_number,26815,12
a1436mm_age,13078,12
a1437ky_bmi3,5837,12
a1439ty_bmiV3,12670,11
a1447ll_hpbd,17034,11
a1447ll_mini_test,12780,12
a1447ll_test,6169,11
a14z6ch_elapsed_days,20585,11
a14z8fy_tmpcov,5775,12
a1501da_birthday,8637,11
a1508ki_ika,4877,11
a1510jy_bmi,4896,11
a1516so_speedtest,14954,11
a1519jk,4953,12
a1520mk_exercise4,11548,10
a1521hk_age,7847,1
a1521hk_minitest_practice,4568,0
a1523xh15745123_bmi,4571,1
a1524ch_huang,4405,0
a1533jt_tianjuan,4257,0
a1535yt_gem,3316,0
a1539kh_calculator,3339,0
a1548sy_yamamoto,3346,1
a1549ey_calc,4463,0
a15666011_konagayoshi,3329,1
a15745105_ichinoki,65421,0
a15745105_ichinokii,10821,0
a15z7kn_niitsuma_2016_gem,2327,0
a15z7kn_niitsuma_kensuke,2865,1
a15z8my_name,3257,0
a1611yk_tax_calc,2308,0
a1616ts_gem,2333,0
a1617ns_helthCalc,3206,0
a1624_bmi,2320,1
a1630ty_a1630ty,2300,0
a1632ma_ano,2318,0
a16745123atanaka,3368,0
a2,2039,5
a2km,19049,0
a2_printer,9059,0
a2ws,13043,1
a2z,58259,0
a2zdeploy,39137,0
a3_build,3169,0
a3rt_client,6459,0
a3rt-talk,4736,1
a4nt,31591,0
a4tools,4153,0
a50,2230,2
a55,683,1
a9n,240704,6
a9s,23405,0
a9s_rabbitmq,4545,0
a9s_swift,22130,0
aa,21542,0
aaaa_aaaa,6968,0
aaaaproject,2081,0
aaalex-cloudy_integrate,4109,0
aaalex-desert,7499,0
aaalex-detect_mobiles,13593,0
aaalex-off_github,12366,10
aaalex-permanent_cookies,4051,0
aaalex-ruby-ifconfig,10808,0
aa_associations,29597,0
AABeginnerTestGem,2239,0
aacinfo-theme,16624,0
aac-metrics,5023,0
aac_translation,7466,6
aad_auth,967,0
aadhaar_auth,3432,0
aadhaar_check,2911,0
aadhar,45123,0
aadigamov_palindrome,2015,0
aaet,1711,0
aaf-gumboot,15877,2
aaf-lipstick,25188,2
aaf-secure_headers,8557,1
aa_global_notifications,7472,1
aai,15867,0
aai10-mechanize,11292,1
aalib-ruby,12724,0
aam,5760,0
aamax.amazing_game,12218,0
aamva,14736,0
a_a_n,38194,0
aanand-deadweight,13756,0
aanand-merb_hoptoad_notifier,7194,0
aanand-ruby-do-notation,7252,0
aa_parser,2010,0
aapis-gist,1788,2
aap_test_gem,2402,0
aaq,4984,0
aa-rails4,5554,0
aardvark,2834,0
aargs,4401,0
aargvark,20663,0
aarin,693,2
aaron,3500,0
aaronchi-jrails,7181,0
aaronh-chronic,568286,1
aaronp-frex,7553,0
aaronp-meow,7101,0
aaronp-zomg,10403,0
aarontc-serialport,3329,0
aarrr,11163,0
aas,3378,0
aasm,27915106,6641
aasm_actionable,8250,0
aasm-active_fedora,6329,1
